Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Gender,Segment,Addressline,Contact,Email,Postal Code,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Year
11,ORD-2018-0011,1/20/2018,1/28/2018,Same Day,CUST-2018-0011,Dr. Olivia Nuraini,Male,Consumer,Jl. K.H. Wahid Hasyim No. 913,0838-167136,purnawatijumadi@hotmail.com,91699,Kota Administrasi Jakarta Selatan,Kalimantan Tengah,Indonesia,South,APAC,PROD-2018-0011,Technology,Accessories,Accessories - Velit,592.56,1,0.04,118.19,15.3,High,2018
12,ORD-2018-0012,10/6/2018,10/8/2018,Second Class,CUST-2018-0012,Halima Saptono,Female,Home Office,Gg. Erlangga No. 10,0872-324643,hidayantogawati@gmail.com,25135,Cilegon,Sulawesi Tengah,Indonesia,East,US,PROD-2018-0012,Furniture,Furnishings,Furnishings - Quisquam,809.42,4,0.05,165.13,20.94,Critical,2018
13,ORD-2019-0013,10/1/2019,10/2/2019,First Class,CUST-2019-0013,Rahmi Yolanda,Male,Corporate,Jalan HOS. Cokroaminoto No. 11,0853-939482,kardi93@cv.or.id,40164,Ambon,Nusa Tenggara Barat,Indonesia,Central,EMEA,PROD-2019-0013,Furniture,Tables,Tables - Delectus,540.92,3,0.21,51.12,16.24,High,2019
14,ORD-2019-0014,9/5/2019,9/14/2019,First Class,CUST-2019-0014,Elisa Handayani,Male,Home Office,Jl. Ciumbuleuit No. 2,0879-976638,lalita82@cv.org,33158,Solok,Jawa Tengah,Indonesia,Central,APAC,PROD-2019-0014,Furniture,Tables,Tables - Ex,412.35,8,0.11,55.14,7.64,Critical,2019
15,ORD-2016-0015,12/1/2016,12/8/2016,Standard Class,CUST-2016-0015,Raharja Nugroho,Female,Corporate,Jl. Rumah Sakit No. 34,0864-830429,wibowobahuwarna@cv.biz.id,30365,Batam,Kepulauan Riau,Indonesia,West,EMEA,PROD-2016-0015,Furniture,Bookcases,Bookcases - Laudantium,225.52,1,0.29,29.71,38.66,High,2016
16,ORD-2016-0016,9/6/2016,9/16/2016,Same Day,CUST-2016-0016,dr. Mustika Nasyiah,Male,Consumer,Jl. Pasirkoja No. 940,0875-184002,usitumorang@pd.go.id,40608,Mataram,Sulawesi Selatan,Indonesia,East,APAC,PROD-2016-0016,Technology,Phones,Phones - Atque,678.46,4,0.2,154.91,30.64,High,2016
17,ORD-2020-0017,9/14/2020,9/16/2020,Same Day,CUST-2020-0017,Sarah Sihotang,Female,Corporate,Gang Otto Iskandardinata No. 56,0836-802258,harjoandriani@hotmail.com,29946,Langsa,Lampung,Indonesia,South,EMEA,PROD-2020-0017,Office Supplies,Envelopes,Envelopes - Eos,139.57,5,0.23,30.33,47.11,High,2020
18,ORD-2019-0018,6/16/2019,6/26/2019,First Class,CUST-2019-0018,"Drs. Luluh Yolanda, S.Psi",Male,Home Office,Gang Tebet Barat Dalam No. 872,0837-630458,diah95@cv.biz.id,32003,Singkawang,DI Yogyakarta,Indonesia,South,EMEA,PROD-2019-0018,Office Supplies,Binders,Binders - Odit,880.48,6,0.14,120.81,29.44,Low,2019
19,ORD-2020-0019,6/9/2020,6/18/2020,First Class,CUST-2020-0019,"Kamal Nababan, S.Sos",Female,Home Office,Jalan Ir. H. Djuanda No. 0,0823-240814,lprasetya@pt.my.id,78895,Singkawang,Sumatera Selatan,Indonesia,South,APAC,PROD-2020-0019,Furniture,Tables,Tables - Nobis,279.62,10,0.11,33.78,35.94,Low,2020
20,ORD-2020-0020,11/18/2020,11/26/2020,Standard Class,CUST-2020-0020,drg. Usman Manullang,Male,Consumer,Gang Pacuan Kuda No. 4,0891-544151,kuntharafarida@gmail.com,34558,Bogor,Jawa Tengah,Indonesia,South,APAC,PROD-2020-0020,Furniture,Bookcases,Bookcases - Eveniet,773.41,5,0.08,114.17,36.76,High,2020
21,ORD-2016-0021,5/28/2016,5/30/2016,Second Class,CUST-2016-0021,"Eva Prabowo, S.Pt",Male,Corporate,Gang R.E Martadinata No. 60,0884-679364,xwibisono@perum.net.id,54668,Pasuruan,Kalimantan Timur,Indonesia,East,US,PROD-2016-0021,Furniture,Chairs,Chairs - Fugit,315.18,1,0.45,17.77,16.23,High,2016
22,ORD-2018-0022,6/19/2018,6/28/2018,Same Day,CUST-2018-0022,Ana Wibisono,Male,Consumer,Jalan Rawamangun No. 980,0830-938742,hutasoitsyahrini@yahoo.com,72046,Jambi,Sulawesi Tenggara,Indonesia,East,US,PROD-2018-0022,Furniture,Tables,Tables - Itaque,739.2,6,0.39,68.96,35.15,Medium,2018
23,ORD-2018-0023,5/12/2018,5/15/2018,First Class,CUST-2018-0023,"dr. Estiawan Andriani, S.T.",Female,Consumer,Jalan R.E Martadinata No. 531,0870-333238,prayogaheru@perum.id,71937,Yogyakarta,Papua,Indonesia,East,US,PROD-2018-0023,Office Supplies,Art,Art - Doloremque,822.33,4,0.11,157.36,22.93,Low,2018
24,ORD-2016-0024,8/23/2016,8/28/2016,Standard Class,CUST-2016-0024,Puti Victoria Marpaung,Female,Home Office,Jl. Rajawali Timur No. 6,0878-447235,cakrawangsarahayu@hotmail.com,14919,Malang,Sulawesi Selatan,Indonesia,Central,APAC,PROD-2016-0024,Office Supplies,Paper,Paper - Ut,584.78,5,0.02,114.13,20.56,Low,2016
25,ORD-2019-0025,5/24/2019,6/3/2019,First Class,CUST-2019-0025,Jono Yuliarti,Female,Home Office,Gg. Rajiman No. 657,0834-367095,unugroho@perum.my.id,94531,Palopo,Kalimantan Utara,Indonesia,Central,US,PROD-2019-0025,Furniture,Tables,Tables - Officiis,370.58,2,0.47,55.03,33.04,High,2019
26,ORD-2018-0026,8/10/2018,8/19/2018,Standard Class,CUST-2018-0026,Hj. Kezia Sirait,Female,Corporate,Gang K.H. Wahid Hasyim No. 35,0861-831076,kurnia94@hotmail.com,83136,Sabang,Kalimantan Utara,Indonesia,South,EMEA,PROD-2018-0026,Furniture,Furnishings,Furnishings - Voluptas,668.28,7,0.34,121.6,32.7,Low,2018
27,ORD-2019-0027,7/4/2019,7/13/2019,First Class,CUST-2019-0027,"Narji Lestari, M.M.",Female,Corporate,Gg. Merdeka No. 34,0836-550770,hpuspasari@yahoo.com,85574,Kota Administrasi Jakarta Pusat,Kalimantan Timur,Indonesia,South,US,PROD-2019-0027,Office Supplies,Envelopes,Envelopes - Cumque,678.87,9,0.24,142.04,40.82,Medium,2019
28,ORD-2016-0028,10/7/2016,10/12/2016,Standard Class,CUST-2016-0028,Galih Lazuardi,Male,Consumer,Jl. Ronggowarsito No. 98,0896-425498,nababanlega@gmail.com,24082,Banjar,Bengkulu,Indonesia,East,EMEA,PROD-2016-0028,Furniture,Chairs,Chairs - Quod,55.75,8,0.31,9.31,25.49,Medium,2016
29,ORD-2019-0029,4/24/2019,5/2/2019,Same Day,CUST-2019-0029,"Dian Uyainah, M.Kom.",Male,Consumer,Gg. Waringin No. 75,0893-821024,ramadanyahya@pt.net.id,90229,Bau-Bau,Kalimantan Utara,Indonesia,Central,APAC,PROD-2019-0029,Office Supplies,Paper,Paper - Cumque,184.13,9,0.23,26.85,46.29,High,2019
30,ORD-2019-0030,8/5/2019,8/8/2019,Same Day,CUST-2019-0030,"dr. Luluh Riyanti, M.Ak",Female,Corporate,Gang Cempaka No. 96,0888-954596,suryatmidalimin@gmail.com,41232,Cilegon,Aceh,Indonesia,West,US,PROD-2019-0030,Furniture,Furnishings,Furnishings - Nemo,455.57,4,0.42,31.53,40,Critical,2019
31,ORD-2017-0031,6/24/2017,6/29/2017,Same Day,CUST-2017-0031,"Rina Halimah, S.Pd",Male,Home Office,Gg. Peta No. 7,0846-345884,karsanautami@pd.id,42102,Serang,Lampung,Indonesia,South,LATAM,PROD-2017-0031,Office Supplies,Binders,Binders - Nulla,146.99,4,0.19,10.5,14.63,Critical,2017
32,ORD-2019-0032,2/18/2019,2/24/2019,Same Day,CUST-2019-0032,Shakila Sihombing,Female,Consumer,Gang Cempaka No. 906,0836-973349,aslijan13@hotmail.com,49027,Kota Administrasi Jakarta Utara,Kalimantan Barat,Indonesia,West,US,PROD-2019-0032,Technology,Phones,Phones - Reprehenderit,858.16,10,0.19,35.78,20.83,Critical,2019
33,ORD-2019-0033,6/19/2019,6/28/2019,Second Class,CUST-2019-0033,"Rahmat Lestari, S.Pt",Female,Consumer,Gang Rumah Sakit No. 12,0844-557007,slailasari@hotmail.com,80715,Madiun,Jambi,Indonesia,West,APAC,PROD-2019-0033,Office Supplies,Art,Art - Necessitatibus,672.18,7,0.36,111.91,46.38,High,2019
34,ORD-2019-0034,12/2/2019,12/12/2019,First Class,CUST-2019-0034,Dt. Maryadi Namaga,Male,Home Office,Jalan Kebonjati No. 5,0864-242291,nhabibi@yahoo.com,47710,Tarakan,Jawa Timur,Indonesia,West,EMEA,PROD-2019-0034,Furniture,Bookcases,Bookcases - Ipsa,385.31,4,0.23,39.87,44.58,Low,2019
35,ORD-2019-0035,8/2/2019,8/7/2019,First Class,CUST-2019-0035,Kusuma Wasita,Female,Consumer,Jl. Rawamangun No. 274,0879-154615,elaksmiwati@gmail.com,82639,Batam,Kepulauan Riau,Indonesia,South,EMEA,PROD-2019-0035,Technology,Phones,Phones - Nesciunt,783.42,1,0.38,139.6,13.97,High,2019
36,ORD-2020-0036,5/11/2020,5/14/2020,Second Class,CUST-2020-0036,"Dr. Emas Adriansyah, S.Pd",Male,Corporate,Jalan Cihampelas No. 7,0895-219946,indah86@yahoo.com,33963,Banjar,Maluku Utara,Indonesia,East,US,PROD-2020-0036,Technology,Copiers,Copiers - Pariatur,769.23,3,0.3,156.66,37.33,Medium,2020
37,ORD-2018-0037,10/1/2018,10/3/2018,First Class,CUST-2018-0037,"dr. Harsana Wijayanti, S.E.I",Female,Home Office,Jl. S. Parman No. 5,0896-493537,hjanuar@pt.net,45961,Tangerang,Papua Barat,Indonesia,West,EMEA,PROD-2018-0037,Furniture,Tables,Tables - Ipsum,110.88,5,0.43,12.65,10.45,High,2018
38,ORD-2018-0038,9/1/2018,9/10/2018,Same Day,CUST-2018-0038,"Vanya Laksita, M.Pd",Female,Consumer,Jl. Medokan Ayu No. 4,0874-778998,fujiatidaliman@pd.biz.id,5045,Palangkaraya,Jawa Tengah,Indonesia,South,APAC,PROD-2018-0038,Office Supplies,Envelopes,Envelopes - Exercitationem,114.48,6,0.32,20.02,36.83,Critical,2018
39,ORD-2017-0039,7/26/2017,8/4/2017,Standard Class,CUST-2017-0039,Padmi Zulaika,Female,Corporate,Jl. Ciwastra No. 6,0865-965845,jpadmasari@pd.my.id,7482,Palembang,Nusa Tenggara Timur,Indonesia,South,LATAM,PROD-2017-0039,Furniture,Chairs,Chairs - Repudiandae,286.14,8,0.12,41.84,32.46,Critical,2017
40,ORD-2018-0040,4/27/2018,4/28/2018,Same Day,CUST-2018-0040,"Yono Anggraini, S.T.",Female,Consumer,Jalan Sukajadi No. 13,0872-322423,kartika44@gmail.com,40909,Kotamobagu,Kalimantan Timur,Indonesia,South,LATAM,PROD-2018-0040,Office Supplies,Art,Art - Sequi,881.52,5,0.28,113.71,13.6,Medium,2018
41,ORD-2019-0041,11/8/2019,11/16/2019,Second Class,CUST-2019-0041,Gawati Usada,Female,Home Office,Jalan Medokan Ayu No. 047,0872-569945,eluh14@pd.edu,88424,Kupang,Nusa Tenggara Barat,Indonesia,Central,APAC,PROD-2019-0041,Office Supplies,Paper,Paper - Cum,410.36,4,0.15,68.15,26.3,Low,2019
42,ORD-2019-0042,7/1/2019,7/10/2019,Standard Class,CUST-2019-0042,Caket Prasetyo,Female,Home Office,Jalan Suniaraja No. 481,0868-384076,vanya49@yahoo.com,13709,Singkawang,Kalimantan Timur,Indonesia,South,LATAM,PROD-2019-0042,Furniture,Chairs,Chairs - Tenetur,724.07,6,0.06,125.21,39.3,Medium,2019
43,ORD-2017-0043,1/25/2017,1/29/2017,Same Day,CUST-2017-0043,"Ridwan Hariyah, S.Pd",Female,Home Office,Jl. Cihampelas No. 471,0885-897135,gawatimansur@pd.sch.id,61796,Bandung,Papua,Indonesia,South,APAC,PROD-2017-0043,Furniture,Bookcases,Bookcases - Esse,235.21,3,0.15,45.38,10.7,High,2017
44,ORD-2016-0044,6/21/2016,6/30/2016,Standard Class,CUST-2016-0044,Gilda Tarihoran,Male,Home Office,Gang Cikutra Barat No. 43,0872-207570,qiswahyudi@perum.co.id,29318,Semarang,Kalimantan Tengah,Indonesia,Central,LATAM,PROD-2016-0044,Office Supplies,Envelopes,Envelopes - Eveniet,446.06,3,0.48,26.24,43.78,High,2016
45,ORD-2016-0045,5/7/2016,5/14/2016,Same Day,CUST-2016-0045,"R.M. Pandu Riyanti, S.Ked",Male,Home Office,Jl. R.E Martadinata No. 21,0890-819796,amongtamba@perum.gov,2681,Parepare,Sulawesi Tengah,Indonesia,Central,EMEA,PROD-2016-0045,Furniture,Bookcases,Bookcases - Magni,94.33,4,0.06,21.38,32.28,Medium,2016
46,ORD-2020-0046,7/18/2020,7/25/2020,Same Day,CUST-2020-0046,Puti Mila Mardhiyah,Female,Corporate,Gg. Erlangga No. 0,0885-549660,bwacana@pd.net,59212,Solok,Maluku Utara,Indonesia,South,APAC,PROD-2020-0046,Technology,Phones,Phones - Modi,948.11,4,0.31,75.99,8.65,Medium,2020
47,ORD-2017-0047,8/21/2017,8/30/2017,First Class,CUST-2017-0047,T. Jaeman Mayasari,Male,Consumer,Jl. Suryakencana No. 8,0862-572387,ohartati@ud.int,65452,Batam,DKI Jakarta,Indonesia,West,LATAM,PROD-2017-0047,Furniture,Tables,Tables - Blanditiis,295.22,5,0.35,31.38,35.93,Low,2017
48,ORD-2020-0048,2/6/2020,2/10/2020,Same Day,CUST-2020-0048,Cinta Wahyudin,Male,Home Office,Gg. Otto Iskandardinata No. 656,0838-779094,nadine45@perum.mil,73158,Binjai,Kepulauan Riau,Indonesia,East,LATAM,PROD-2020-0048,Furniture,Chairs,Chairs - Rem,69.04,5,0.3,12.37,46.45,Critical,2020
49,ORD-2016-0049,3/28/2016,4/5/2016,Standard Class,CUST-2016-0049,"dr. Surya Purwanti, M.Ak",Female,Corporate,Jalan K.H. Wahid Hasyim No. 45,0874-666211,najmudinedison@hotmail.com,12018,Metro,Sulawesi Barat,Indonesia,West,US,PROD-2016-0049,Furniture,Chairs,Chairs - Odit,890.53,6,0.3,35.2,15.3,High,2016
50,ORD-2018-0050,5/13/2018,5/23/2018,First Class,CUST-2018-0050,Hairyanto Saragih,Male,Corporate,Jl. Jakarta No. 901,0876-783157,bwijayanti@yahoo.com,64381,Palangkaraya,Jambi,Indonesia,West,LATAM,PROD-2018-0050,Furniture,Furnishings,Furnishings - Id,638.44,8,0.48,55.61,23.38,Low,2018
51,ORD-2016-0051,9/20/2016,9/23/2016,Standard Class,CUST-2016-0051,"Lega Laksita, M.TI.",Female,Home Office,Jl. Suniaraja No. 0,0873-402218,luhungprabowo@ud.int,76226,Pekalongan,Nusa Tenggara Timur,Indonesia,West,APAC,PROD-2016-0051,Office Supplies,Binders,Binders - Aut,321.37,6,0.06,73.45,43.92,High,2016
52,ORD-2020-0052,6/3/2020,6/11/2020,Same Day,CUST-2020-0052,"Cut Maya Budiyanto, M.M.",Male,Consumer,Gang Joyoboyo No. 64,0876-479353,udamanik@perum.net,13696,Mojokerto,Maluku,Indonesia,West,US,PROD-2020-0052,Furniture,Tables,Tables - Labore,274.39,3,0.46,23.64,36.42,High,2020
53,ORD-2016-0053,3/27/2016,4/6/2016,Second Class,CUST-2016-0053,Victoria Narpati,Male,Corporate,Jl. Sentot Alibasa No. 23,0880-114338,kambalinapitupulu@perum.net,77997,Sorong,Maluku Utara,Indonesia,West,APAC,PROD-2016-0053,Furniture,Chairs,Chairs - Distinctio,466.83,2,0.32,28.09,46.97,Low,2016
54,ORD-2020-0054,6/19/2020,6/24/2020,Same Day,CUST-2020-0054,Jarwadi Handayani,Female,Corporate,Jalan Setiabudhi No. 1,0841-578975,chartati@gmail.com,41199,Pangkalpinang,Banten,Indonesia,East,US,PROD-2020-0054,Furniture,Tables,Tables - Odio,865.39,5,0.39,139.15,20.29,Low,2020
55,ORD-2016-0055,12/19/2016,12/24/2016,Standard Class,CUST-2016-0055,"Drs. Martana Nainggolan, S.Psi",Female,Consumer,Jl. Cihampelas No. 518,0867-664742,prayogataufik@perum.desa.id,46659,Sorong,Nusa Tenggara Barat,Indonesia,West,LATAM,PROD-2016-0055,Office Supplies,Envelopes,Envelopes - At,460.79,6,0.43,77.53,15.75,Critical,2016
56,ORD-2017-0056,5/9/2017,5/16/2017,First Class,CUST-2017-0056,Kalim Wastuti,Female,Home Office,Gang Kapten Muslihat No. 2,0870-839485,padmasaritari@gmail.com,46291,Sabang,Papua Barat,Indonesia,West,US,PROD-2017-0056,Technology,Accessories,Accessories - Temporibus,500.38,1,0.06,137.03,19.94,High,2017
57,ORD-2019-0057,11/4/2019,11/6/2019,Same Day,CUST-2019-0057,Yulia Mahendra,Male,Home Office,Gang Asia Afrika No. 42,0828-529893,amalia33@cv.int,59296,Cilegon,Kalimantan Barat,Indonesia,East,APAC,PROD-2019-0057,Office Supplies,Art,Art - Voluptate,345.18,7,0.32,61.72,43.36,Critical,2019
58,ORD-2018-0058,10/27/2018,11/4/2018,First Class,CUST-2018-0058,R. Tantri Farida,Male,Consumer,Gang Tebet Barat Dalam No. 3,0890-817644,usman38@gmail.com,73597,Yogyakarta,Lampung,Indonesia,South,EMEA,PROD-2018-0058,Technology,Phones,Phones - Modi,439.63,2,0.38,61.59,9.52,Medium,2018
59,ORD-2018-0059,7/15/2018,7/16/2018,First Class,CUST-2018-0059,dr. Caraka Pangestu,Female,Consumer,Jalan H.J Maemunah No. 58,0847-475876,suryonocaturangga@ud.edu,13750,Banjarbaru,Riau,Indonesia,South,US,PROD-2018-0059,Furniture,Tables,Tables - Provident,535.85,10,0.34,33.6,12.88,Critical,2018
60,ORD-2020-0060,5/25/2020,5/29/2020,Same Day,CUST-2020-0060,Harsana Hutapea,Male,Consumer,Jl. Raya Setiabudhi No. 522,0869-768891,warsa27@perum.ac.id,28986,Kotamobagu,Kalimantan Utara,Indonesia,South,US,PROD-2020-0060,Office Supplies,Binders,Binders - Incidunt,899.92,8,0.45,108.59,12.11,Critical,2020
61,ORD-2018-0061,2/17/2018,2/27/2018,Standard Class,CUST-2018-0061,Digdaya Andriani,Female,Home Office,Jl. Yos Sudarso No. 8,0842-579027,edwardsiregar@pt.sch.id,21851,Meulaboh,Sulawesi Utara,Indonesia,South,EMEA,PROD-2018-0061,Office Supplies,Envelopes,Envelopes - Aperiam,115.59,7,0.29,15.9,49.67,Low,2018
62,ORD-2016-0062,9/3/2016,9/10/2016,Standard Class,CUST-2016-0062,Kasiyah Ramadan,Male,Home Office,Jalan Sentot Alibasa No. 195,0897-916118,thamrinhamima@cv.gov,17043,Dumai,Banten,Indonesia,Central,US,PROD-2016-0062,Office Supplies,Paper,Paper - Ipsam,610.99,6,0.11,53.04,16.28,Medium,2016
63,ORD-2016-0063,12/28/2016,12/29/2016,Standard Class,CUST-2016-0063,Oliva Widodo,Female,Consumer,Jalan H.J Maemunah No. 450,0884-482584,drajat56@yahoo.com,65277,Pematangsiantar,Kepulauan Riau,Indonesia,East,APAC,PROD-2016-0063,Office Supplies,Art,Art - Blanditiis,750.01,3,0.1,166.48,44.44,Low,2016
64,ORD-2020-0064,10/9/2020,10/18/2020,Standard Class,CUST-2020-0064,Cindy Astuti,Male,Corporate,Gang Dr. Djunjunan No. 544,0871-945664,smarbun@yahoo.com,70596,Subulussalam,Bengkulu,Indonesia,South,LATAM,PROD-2020-0064,Furniture,Furnishings,Furnishings - Autem,963.26,3,0.38,63.55,35.43,Critical,2020
65,ORD-2020-0065,9/17/2020,9/23/2020,First Class,CUST-2020-0065,"Halim Utama, M.TI.",Female,Consumer,Jl. Rungkut Industri No. 7,0843-662636,cahyantoprakasa@ud.web.id,75571,Pontianak,Papua,Indonesia,Central,US,PROD-2020-0065,Office Supplies,Art,Art - Nam,588.71,6,0.05,60.66,6.13,Low,2020
66,ORD-2020-0066,5/2/2020,5/6/2020,First Class,CUST-2020-0066,"Estiawan Prayoga, S.IP",Female,Home Office,Gg. M.T Haryono No. 81,0848-780776,tri39@yahoo.com,31217,Tasikmalaya,Sulawesi Tengah,Indonesia,West,APAC,PROD-2020-0066,Furniture,Chairs,Chairs - Commodi,946.8,5,0.5,37.41,15.57,Medium,2020
67,ORD-2019-0067,11/11/2019,11/19/2019,Standard Class,CUST-2019-0067,"Surya Simanjuntak, S.I.Kom",Female,Home Office,Gang Jamika No. 2,0829-535037,dimazpangestu@gmail.com,70589,Pangkalpinang,Jawa Barat,Indonesia,Central,US,PROD-2019-0067,Technology,Machines,Machines - Similique,939.66,5,0.02,131.35,24.95,Medium,2019
68,ORD-2018-0068,12/10/2018,12/12/2018,Standard Class,CUST-2018-0068,Atmaja Saragih,Female,Consumer,Gang Tubagus Ismail No. 1,0860-389282,suci17@perum.edu,80182,Cimahi,Jawa Timur,Indonesia,East,APAC,PROD-2018-0068,Office Supplies,Binders,Binders - Iste,666.14,10,0.49,21.28,20.01,Medium,2018
69,ORD-2020-0069,12/29/2020,1/2/2021,First Class,CUST-2020-0069,"Genta Situmorang, M.TI.",Male,Home Office,Gg. Kiaracondong No. 8,0837-952547,queensihombing@hotmail.com,82992,Surabaya,Nusa Tenggara Barat,Indonesia,East,LATAM,PROD-2020-0069,Furniture,Chairs,Chairs - Recusandae,284.5,3,0.49,26.85,40.93,High,2020
70,ORD-2016-0070,1/16/2016,1/19/2016,First Class,CUST-2016-0070,"Cut Cindy Gunawan, M.Farm",Female,Consumer,Gg. Wonoayu No. 0,0885-439498,suci47@gmail.com,47102,Padangpanjang,Sulawesi Utara,Indonesia,Central,EMEA,PROD-2016-0070,Office Supplies,Binders,Binders - Officiis,135.49,7,0.26,23.7,26.43,Low,2016
71,ORD-2020-0071,3/20/2020,3/30/2020,First Class,CUST-2020-0071,Rachel Megantara,Female,Home Office,Gang Surapati No. 588,0838-744986,jayadi71@pd.int,46963,Madiun,Maluku Utara,Indonesia,Central,LATAM,PROD-2020-0071,Office Supplies,Binders,Binders - Eaque,70.22,8,0.42,6.38,9.86,Critical,2020
72,ORD-2016-0072,10/23/2016,10/25/2016,Standard Class,CUST-2016-0072,Jamil Mulyani,Male,Consumer,Gang Yos Sudarso No. 168,0826-388375,irfanpadmasari@yahoo.com,4797,Prabumulih,Aceh,Indonesia,South,US,PROD-2016-0072,Technology,Copiers,Copiers - Corrupti,459.18,10,0.22,88.92,10.15,Medium,2016
73,ORD-2019-0073,6/17/2019,6/25/2019,Second Class,CUST-2019-0073,Teguh Saptono,Female,Corporate,Gang Cihampelas No. 09,0868-518098,intan41@perum.web.id,21655,Tomohon,Jawa Tengah,Indonesia,West,APAC,PROD-2019-0073,Office Supplies,Envelopes,Envelopes - Eius,319.4,5,0.19,22.81,46.53,High,2019
74,ORD-2016-0074,8/21/2016,8/23/2016,First Class,CUST-2016-0074,dr. Jais Gunarto,Female,Consumer,Jl. Rumah Sakit No. 87,0857-951201,marwatasuryatmi@cv.sch.id,88879,Parepare,Bali,Indonesia,East,APAC,PROD-2016-0074,Technology,Copiers,Copiers - Maxime,673.31,7,0.18,119.44,38.76,High,2016
75,ORD-2018-0075,5/9/2018,5/19/2018,Standard Class,CUST-2018-0075,"Balapati Agustina, M.Farm",Female,Consumer,Gg. Pasirkoja No. 9,0883-632060,padmasariyosef@perum.go.id,30913,Palembang,Maluku Utara,Indonesia,East,EMEA,PROD-2018-0075,Technology,Machines,Machines - Nihil,232,2,0.18,35.97,10.17,Low,2018
